FULLNAME;CODE;BBG_TICKER;NAME;INDUSTRY_SECTOR;INDUSTRY_SECTOR_NUM;GICS_SECTOR_NAME;GICS_SECTOR;CUR_MKT_CAP;EQY_FLOAT;EQY_FREE_FLOAT_PCT;FUND_ASSET_CLASS_FOCUS;SECTOR
CEEE-GT ON;EEEL3;EEEL3 BS Equity;CIA ESTADUAL DE GERACAO E TR;Utilities;10014;Utilities;55;529.061.172;0,01;0;#N/A N/A;Prestação de Serviços de Natureza Pública ou Privada. no Setor de Geração e Transmissão de Energia Elétrica
CEEE-GT PN;EEEL4;EEEL4 BS Equity;CIA ESTADUAL DE GERACAO E TR;Utilities;10014;Utilities;55;529.061.172;0,05;0,81;#N/A N/A;Prestação de Serviços de Natureza Pública ou Privada. no Setor de Geração e Transmissão de Energia Elétrica
ELEKTRO ON;EKTR3;EKTR3 BS Equity;ELETRICIDADE E SERVICOS SA;Utilities;10014;Utilities;55;2.993.580.644;0,03;0,03;#N/A N/A;Distribuição de Energia Elétrica
ELEKTRO PN;EKTR4;EKTR4 BS Equity;ELECTRICIDADE E SERVICOS-PRF;Utilities;10014;Utilities;55;2.993.580.644;0,6;0,59;#N/A N/A;Distribuição de Energia Elétrica
ELEKEIROZ ON;ELEK3;ELEK3 BS Equity;ELEKEIROZ S/A;Basic Materials;10002;Materials;15;247.373.752;0,26;1,77;#N/A N/A;Industrialização e Comercialização de Produtos Químicos
ELEKEIROZ PN;ELEK4;ELEK4 BS Equity;ELEKEIROZ SA-PRF;Basic Materials;10002;Materials;15;247.373.752;0,85;5,01;#N/A N/A;Industrialização e Comercialização de Produtos Químicos
ELETROBRAS ON;ELET3;ELET3 BS Equity;CENTRAIS ELETRICAS BRASILIER;Utilities;10014;Utilities;55;8.594.224.865;278,72;25,64;#N/A N/A;Empresa Holding de Geração. Transmissão e Distribuição de Energia
ELETROBRAS PNA;ELET5;ELET5 BS Equity;CENTRAIS ELETRICAS BRAS-PR A;Utilities;10014;Utilities;55;8.594.224.865;0,1;65,84;#N/A N/A;Empresa Holding de Geração. Transmissão e Distribuição de Energia
ELETROBRAS PNB;ELET6;ELET6 BS Equity;CENTRAIS ELETRICAS BRAS-PR B;Utilities;10014;Utilities;55;8.594.224.865;228,48;86,08;#N/A N/A;Empresa Holding de Geração. Transmissão e Distribuição de Energia
ELETROPAULO ON;ELPL3;ELPL3 BS Equity;ELETROPAULO METROPOLITANA SP;Utilities;10014;Utilities;55;1.699.806.574;1,44;2,16;#N/A N/A;Distribuição de Energia Elétrica
ELETROPAULO PN;ELPL4;ELPL4 BS Equity;ELETROPAULO METROPOLI-PREF;Utilities;10014;Utilities;55;1.699.806.574;92,74;92,06;#N/A N/A;Distribuição de Energia Elétrica
EMAE PN;EMAE4;EMAE4 BS Equity;EMPRESA METROPOLITANA-PREF;Utilities;10014;Utilities;55;145.940.982;5,51;24,77;#N/A N/A;Produção de Energia Elétrica
EMBRAER ON;EMBR3;EMBR3 BS Equity;EMBRAER SA;Industrial;10011;Industrials;20;17.504.593.750;640,35;86,48;#N/A N/A;Produção de Aerovanes
ENERGIAS BR ON;ENBR3;ENBR3 BS Equity;EDP - ENERGIAS DO BRASIL SA;Utilities;10014;Utilities;55;4.811.797.681;232,59;48,82;#N/A N/A;Área de Negócios: Geração. Distribuição e Comercialização de Energia Elétrica
ENEVA ON;ENEV3;ENEV3 BS Equity;ENEVA SA;Utilities;10014;Utilities;55;697.288.069;238,93;28,44;#N/A N/A;Empresa de Recursos Naturais e de Geração de Energia Elétrica. Integração Vertical na Geração de Energia Elétrica.
ENERGISA UNT;ENGI11;ENGI11 BS Equity;ENERGISA SA-UNITS;Utilities;10014;Utilities;55;2.701.341.366;249,14;100;#N/A N/A;Sociedade de Participações em Outras Empresas. Predominantemente em Distribuidoras de Energia Elétrica.
ENERGISA ON;ENGI3;ENGI3 BS Equity;ENERGISA S.A.;Utilities;10014;Utilities;55;2.701.341.366;75,27;12,7;#N/A N/A;Sociedade de Participações em Outras Empresas. Predominantemente em Distribuidoras de Energia Elétrica.
ENERGISA PN;ENGI4;ENGI4 BS Equity;ENERGISA SA-PREFERENCE;Utilities;10014;Utilities;55;2.701.341.366;79,01;12,1;#N/A N/A;Sociedade de Participações em Outras Empresas. Predominantemente em Distribuidoras de Energia Elétrica.
EQUATORIAL ON;EQTL3;EQTL3 BS Equity;EQUATORIAL ENERGIA SA - ORD;Utilities;10014;Utilities;55;5.536.681.121;188,49;94,98;#N/A N/A;Empresa Holding com Atuação no Setor Elétrico
ESTACIO PART ON;ESTC3;ESTC3 BS Equity;ESTACIO PARTICIPACOES SA;Consumer, Non-cyclical;10005;Consumer Discretionary;25;8.797.339.465;291,99;92,57;#N/A N/A;A Estácio Participações S.A e as Sociedades de Propósito Específico por Elas Controladas Desenvolvem. Principalmente. Atividades de (i) Ensino Superior nas Modalidades Presencial e A Distância.
ESTRELA ON;ESTR3;ESTR3 BS Equity;MANUF BRINQUEDOS ESTRELA SA;Consumer, Cyclical;10004;Consumer Discretionary;25;13.795.827;0,13;2,32;#N/A N/A;Fabricação de Brinquedos e Jogos Recreativos
ESTRELA PN;ESTR4;ESTR4 BS Equity;MANUF BRINQUEDOS ESTRELA-PRF;Consumer, Cyclical;10004;Consumer Discretionary;25;13.795.827;9,44;87,57;#N/A N/A;Fabricação de Brinquedos e Jogos Recreativos
ETERNIT ON;ETER3;ETER3 BS Equity;ETERNIT SA;Industrial;10011;Materials;15;605.020.000;141,94;79,3;#N/A N/A;Industrialização e Comercialização de Produtos de Fibrocimento. Cimento. Concreto. Gesso. Produtos de Matéria Plástica. Bem como Outros Materiais de Construção e Respectivos Acessórios.
EUCATEX ON;EUCA3;EUCA3 BS Equity;EUCATEX SA INDUSTRIA E COMER;Industrial;10011;Materials;15;319.536.433;12,57;40,2;#N/A N/A;Indústria e Comércio de Chapas de Fibra de Madeira
EUCATEX PN;EUCA4;EUCA4 BS Equity;EUCATEX SA INDUSTRIA-PREF;Industrial;10011;Materials;15;319.536.433;58,47;95,29;#N/A N/A;Indústria e Comércio de Chapas de Fibra de Madeira
FII EUROPAR CI;EURO11;EURO11 BS Equity;FUNDO DE INVEST IMOB EUROPAR;Financial;10008;#N/A N/A;#N/A N/A;65.994.499;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
EVEN ON;EVEN3;EVEN3 BS Equity;EVEN CONSTRUTORA E INCORPORA;Consumer, Cyclical;10004;Consumer Discretionary;25;1.353.101.766;218,13;93,5;#N/A N/A;Construção e Incorporação
EXXON MOBIL DRN;EXXO34;EXXO34 BS Equity;EXXON MOBIL - BDR;Energy;10007;Energy;10;1.040.584.854.100;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
EZTEC ON;EZTC3;EZTC3 BS Equity;EZ TEC EMPREENDIMENTOS E PAR;Financial;10008;Consumer Discretionary;25;3.367.318.554;50,55;34,45;#N/A N/A;(a) Incorporação e Comercialização de Empreendimentos Imobiliários de Qualquer Natureza. (b) Administração e Locação de Imóveis Prórpios. (c) Loteamento de Terrenos. (d) Construção de Condomínios ...
FIBAM PN;FBMC4;FBMC4 BS Equity;FIBAM CIA INDUSTRIAL-PREF;Basic Materials;10002;Industrials;20;10.171.196;0,35;75,64;#N/A N/A;Fabricação de Peças e Acessórios para Veículos Automotores Tais como Parafusos. Porcas. Arruelas. Roscas e Similares.
FACEBOOK DRN;FBOK34;FBOK34 BS Equity;FACEBOOK INC;Communications;10003;Information Technology;45;524.074.187.500;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
FREEPORT DRN;FCXO34;FCXO34 BS Equity;FREEPORT-MCMORAN-BDR;Basic Materials;10002;Materials;15;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
FORD MOTORS DRN;FDMO34;FDMO34 BS Equity;FORD MOTOR COMPANY-BDR;Consumer, Cyclical;10004;Consumer Discretionary;25;139.189.893.885;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
FEDEX CORP DRN;FDXB34;FDXB34 BS Equity;FEDEX CORP-BDR;Industrial;10011;Industrials;20;123.492.588.780;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
FERBASA ON;FESA3;FESA3 BS Equity;FERBASA-FERRO LIGAS DA BAHIA;Basic Materials;10002;Materials;15;775.449.600;0,31;1,06;#N/A N/A;"Fabricação e Comercialização dos Diversos Tipos de Ferroligas;"
FERBASA PN;FESA4;FESA4 BS Equity;CIA FERRO LIGAS DA BAHIA -FE;Basic Materials;10002;Materials;15;775.449.600;32,61;55,39;#N/A N/A;"Fabricação e Comercialização dos Diversos Tipos de Ferroligas;"
FII RIOB RC CI;FFCI11;FFCI11 BS Equity;FI IMOB RIO BRAVO RENDA CORP;Financial;10008;#N/A N/A;#N/A N/A;221.614.838;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FER HERINGER ON;FHER3;FHER3 BS Equity;FERTILIZANTES HERINGER LTDA;Basic Materials;10002;Materials;15;295.190.869;15,63;32,24;#N/A N/A;Produção. Comercialização e Distribuição de Fertilizantes. com Atuação Nacional.
FIBRIA ON;FIBR3;FIBR3 BS Equity;FIBRIA CELULOSE SA;Basic Materials;10002;Materials;15;17.077.805.136;222,34;40,14;#N/A N/A;#N/A N/A
INVEST BEMGE ON;FIGE3;FIGE3 BS Equity;INVESTIMENTOS BEMGE SA;Financial;10008;Financials;40;#N/A N/A;0,12;14,72;#N/A N/A;Investimentos
INVEST BEMGE PN;FIGE4;FIGE4 BS Equity;INVESTIMENTOS BEMGE SA-PREF;Financial;10008;Financials;40;#N/A N/A;0,2;12,42;#N/A N/A;Investimentos
FII GEN SHOP CI;FIGS11;FIGS11 BS Equity;FII GENERAL SHOPPING ATIVO;Financial;10008;#N/A N/A;#N/A N/A;193.118.576;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FII INDL BR CI;FIIB11;FIIB11 BS Equity;FII INDUSTRIAL DO BRASIL;Financial;10008;#N/A N/A;#N/A N/A;199.354.797;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
IT NOW IFNC CI;FIND11;FIND11 BS Equity;IT NOW IFNC FUNDO DE INDICE;Funds;10009;#N/A N/A;#N/A N/A;31.566.000;#N/A N/A;#N/A N/A;Equity;#N/A N/A
FII FATORFIX CI;FIXX11;FIXX11 BS Equity;FII FATOR IFIX;Financial;10008;#N/A N/A;#N/A N/A;27.444.239;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FORJA TAURUS ON;FJTA3;FJTA3 BS Equity;FORJAS TAURUS SA;Industrial;10011;Industrials;20;98.036.016;15,81;17,03;#N/A N/A;Indústria e Comércio de Armas
FORJA TAURUS PN;FJTA4;FJTA4 BS Equity;FORJAS TAURUS SA-PREF;Industrial;10011;Industrials;20;98.036.016;56,23;66,35;#N/A N/A;Indústria e Comércio de Armas
FII S F LIMA CI;FLMA11;FLMA11 BS Equity;FDO S F LIMA;Financial;10008;#N/A N/A;#N/A N/A;129.092.651;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FLEURY ON;FLRY3;FLRY3 BS Equity;FLEURY SA;Consumer, Non-cyclical;10005;Health Care;35;2.492.879.028;73,35;46,93;#N/A N/A;(i) A Prestação de Serviços Médicos e Medicina Diagnóstica. (ii) A Consultoria. Assessoria. Cursos e Palestras na Área da Saúde. Bem como A Prestação de Serviços que Visem A Promoção de Saúde
FII MEMORIAL CI;FMOF11;FMOF11 BS Equity;FII MEMORIAL OFFICE;Financial;10008;#N/A N/A;#N/A N/A;58.065.315;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FII A BRANCA CI;FPAB11;FPAB11 BS Equity;FI IMOB PROJETO AGUA BRANCA;Financial;10008;#N/A N/A;#N/A N/A;240.000.000;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FRAS-LE ON;FRAS3;FRAS3 BS Equity;FRAS-LE SA;Consumer, Cyclical;10004;Consumer Discretionary;25;518.641.063;34,18;27,35;#N/A N/A;Indústria de Autopeças e Materiais de Fricção
METALFRIO ON;FRIO3;FRIO3 BS Equity;METALFRIO SOLUTIONS SA;Consumer, Cyclical;10004;Industrials;20;47.240.836;17,48;42,18;#N/A N/A;Fabricação e Comercialiazação de Geladeiras e Similares. de Máquinas de Vendas Automáticas. Componentes e Peças
FII V PARQUE CI;FVPQ11;FVPQ11 BS Equity;FUNDO INVESTIMENT VIA PARQUE;Financial;10008;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
GE DRN;GEOO34;GEOO34 BS Equity;GENERAL ELETRIC-BDR;Industrial;10011;Industrials;20;689.910.232.000;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
GER PARANAP ON;GEPA3;GEPA3 BS Equity;DUKE ENERGY INTL GERACAO PAR;Utilities;10014;Utilities;55;5.741.543.606;0,3;0,95;#N/A N/A;Geração e Comercialização de Energia Elétrica
GER PARANAP PN;GEPA4;GEPA4 BS Equity;DUKE ENERGY INTL GERACAO-PRF;Utilities;10014;Utilities;55;5.741.543.606;2,32;3,68;#N/A N/A;Geração e Comercialização de Energia Elétrica
AES TIETE ON;GETI3;GETI3 BS Equity;AES TIETE SA;Utilities;10014;Utilities;55;6.680.839.499;56,41;28,57;#N/A N/A;Geração de Energia Elétrica
AES TIETE PN;GETI4;GETI4 BS Equity;AES TIETE SA-PREF;Utilities;10014;Utilities;55;6.680.839.499;94,25;51,28;#N/A N/A;Geração de Energia Elétrica
GAFISA ON;GFSA3;GFSA3 BS Equity;GAFISA SA;Financial;10008;Consumer Discretionary;25;1.193.432.211;399,92;91,82;#N/A N/A;#N/A N/A
GERDAU ON;GGBR3;GGBR3 BS Equity;GERDAU S.A.;Basic Materials;10002;Materials;15;17.711.750.666;94,57;16,49;#N/A N/A;Participação e Administração
GERDAU PN;GGBR4;GGBR4 BS Equity;GERDAU SA-PREF;Basic Materials;10002;Materials;15;17.711.750.666;856,55;74,74;#N/A N/A;Participação e Administração
GERDAU MET ON;GOAU3;GOAU3 BS Equity;METALURGICA GERDAU SA;Basic Materials;10002;Materials;15;4.925.857.158;47,75;34,7;#N/A N/A;Participação e Administração
GERDAU MET PN;GOAU4;GOAU4 BS Equity;METALURGICA GERDAU SA-PREF;Basic Materials;10002;Materials;15;4.925.857.158;268,74;97,7;#N/A N/A;Participação e Administração
GOL PN;GOLL4;GOLL4 BS Equity;GOL LINHAS AEREAS - PREF;Consumer, Cyclical;10004;Industrials;20;4.255.230.564;128,87;92,54;#N/A N/A;Gestão de Participação Societária
GOOGLE DRN;GOOG34;GOOG34 BS Equity;GOOGLE INC - BDR;Communications;10003;Information Technology;45;943.265.111.526;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
IT NOW IGCT CI;GOVE11;GOVE11 BS Equity;IT NOW IGCT FUNDO DE INDICE;Funds;10009;#N/A N/A;#N/A N/A;27.587.999;#N/A N/A;#N/A N/A;Equity;#N/A N/A
CELGPAR ON;GPAR3;GPAR3 BS Equity;CIA CELG DE PARTICIPACOES SA;Utilities;10014;Utilities;55;#N/A N/A;0,08;0,23;#N/A N/A;Participação em Outras Sociedades como Acionista ou Sócia-Cotista E. Ainda. A Exploração Direta ou Indireta de Serviços de Energia Elétrica
GPC PART ON;GPCP3;GPCP3 BS Equity;GPC PARTICIPACOES SA;Diversified;10006;Materials;15;173.350.863;156,27;41,47;#N/A N/A;#N/A N/A
GP INVEST DR3;GPIV33;GPIV33 BS Equity;GP INVESTMENTS LTD - BDR;Financial;10008;Financials;40;794.982.849;#N/A N/A;#N/A N/A;#N/A N/A;Investimentos Alternativos. Principalmente em Private Equity
FII LOUVEIRA CI;GRLV11;GRLV11 BS Equity;FII CSHG GR LOUVEIRA;Financial;10008;#N/A N/A;#N/A N/A;107.352.997;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
GRENDENE ON;GRND3;GRND3 BS Equity;GRENDENE SA;Consumer, Cyclical;10004;Consumer Discretionary;25;5.187.420.000;66,77;22,2;#N/A N/A;Fabricação de Calçados em Geral
GOLDMANSACHS DRN;GSGI34;GSGI34 BS Equity;GOLDMAN SACHS GROUP INC -BDR;Financial;10008;Financials;40;218.258.003.393;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
GENERALSHOPP ON;GSHP3;GSHP3 BS Equity;GENERAL SHOPPING BRASIL SA;Financial;10008;Financials;40;331.152.736;20,49;40,59;#N/A N/A;Administração de Shopping Centers
GUARARAPES ON;GUAR3;GUAR3 BS Equity;GUARARAPES CONFECCOES SA;Consumer, Cyclical;10004;Consumer Discretionary;25;5.362.656.000;6,41;20,55;#N/A N/A;Confecções de Roupas e Tecidos em Geral.
GUARARAPES PN;GUAR4;GUAR4 BS Equity;GUARARAPES CONFECCOES-PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;5.362.656.000;1,58;5,06;#N/A N/A;Confecções de Roupas e Tecidos em Geral.
FII GAVEA CI;GVFF11;GVFF11 BS Equity;FII GAVEA;Financial;10008;#N/A N/A;#N/A N/A;107.643.600;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FII GWI LOG CI;GWIC11;GWIC11 BS Equity;GWI CONDOMINIOS LOGISTICOS;Financial;10008;#N/A N/A;#N/A N/A;129.940.002;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FII GWI RI CIA;GWIR11;GWIR11 BS Equity;FII GWI RENDA IMOBILIARIA;Financial;10008;#N/A N/A;#N/A N/A;110.001.801;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
HAGA S/A ON;HAGA3;HAGA3 BS Equity;HAGA SA INDUSTRIA E COMERCIO;Industrial;10011;Industrials;20;16.065.000;0,72;18,26;#N/A N/A;Industria Metalúrgica - Fab. de Fechaduras P/Construção Civil
HAGA S/A PN;HAGA4;HAGA4 BS Equity;FERRAGENS HAGA SA-PREF;Industrial;10011;Industrials;20;16.065.000;5,45;68,75;#N/A N/A;Industria Metalúrgica - Fab. de Fechaduras P/Construção Civil
HALLIBURTON DRN;HALI34;HALI34 BS Equity;HALLIBURTON CO-BDR;Energy;10007;Energy;10;122.373.266.309;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
HELBOR ON;HBOR3;HBOR3 BS Equity;HELBOR EMPREENDIMENTOS SA;Financial;10008;Consumer Discretionary;25;1.443.119.647;109,26;42,4;#N/A N/A;Incorporação de Imoveis
HABITASUL PNA;HBTS5;HBTS5 BS Equity;CIA HABITASUL DE PARTI-PRF A;Financial;10008;Industrials;20;114.171.088;5,95;100;#N/A N/A;Participações Societárias
HERCULES ON;HETA3;HETA3 BS Equity;HERCULES SA FABRICA TALHERES;Consumer, Cyclical;10004;Consumer Discretionary;25;#N/A N/A;0,09;1,67;#N/A N/A;Fabricação e A Comercialização de Toda A Espécie de Talheres e Outros Artigos de Mesa para Uso Doméstico. Artigos de Adorno. Beleza. Higiene. Móveis. Material Escolar. de Escritório e Profissional.
HERCULES PN;HETA4;HETA4 BS Equity;HERCULES SA FABRICA TAL-PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;7.506.707;7,23;71,12;#N/A N/A;Fabricação e A Comercialização de Toda A Espécie de Talheres e Outros Artigos de Mesa para Uso Doméstico. Artigos de Adorno. Beleza. Higiene. Móveis. Material Escolar. de Escritório e Profissional.
FII CSHGSHOP CI;HGBS11;HGBS11 BS Equity;CSHG BRASIL SHOPPING;Financial;10008;#N/A N/A;#N/A N/A;843.862.427;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FII CSHG CRI CI;HGCR11;HGCR11 BS Equity;CSHG RECEBIVEIS IMOBILIARIOS;Financial;10008;#N/A N/A;#N/A N/A;94.238.098;#N/A N/A;#N/A N/A;Fixed Income;#N/A N/A
FII CSHGJHSF CI;HGJH11;HGJH11 BS Equity;CSHG JHSF PRIME OFFICES FI I;Financial;10008;#N/A N/A;#N/A N/A;174.074.997;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FII CSHG LOG CI;HGLG11;HGLG11 BS Equity;CSHG LOGISTICA FI IMOBILIARO;Financial;10008;#N/A N/A;#N/A N/A;357.105.011;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
FII HG REAL CI;HGRE11;HGRE11 BS Equity;CSHG REAL ESTATE FI IMOBILIA;Financial;10008;#N/A N/A;#N/A N/A;930.270.630;#N/A N/A;#N/A N/A;Real Estate;#N/A N/A
CIA HERING ON;HGTX3;HGTX3 BS Equity;CIA HERING;Consumer, Cyclical;10004;Consumer Discretionary;25;4.024.743.522;140,87;85,58;#N/A N/A;Confecção de Artigos do Vestuário e Acessórios
HOME DEPOT DRN;HOME34;HOME34 BS Equity;HOME DEPOT INC/THE - BDR;Consumer, Cyclical;10004;Consumer Discretionary;25;343.748.217.535;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
HONEYWELL DRN;HONB34;HONB34 BS Equity;HONEYWELL INTERNATIONAL-BDR;Industrial;10011;Industrials;20;177.384.819.645;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
HOTEIS OTHON PN;HOOT4;HOOT4 BS Equity;HOTEIS OTHON S.A.-PREF;Consumer, Cyclical;10004;Consumer Discretionary;25;82.675.854;27,66;35,04;#N/A N/A;Prestação de Serviços na Indústria Hoteleira
HP COMPANY DRN;HPQB34;HPQB34 BS Equity;HEWLETT-PACKARD CO - BDR;Technology;10013;Information Technology;45;156.673.786.250;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
HRT PETROLEO ON;HRTP3;HRTP3 BS Equity;HRT PARTICIPACOES EM PETROLE;Energy;10007;Energy;10;226.074.730;23,78;79,94;#N/A N/A;Constitui Objeto da Companhia A Participação em Outras Sociedades como Sócia. Acionista ou Quotista. Independentemente de Sua Atividade.
HYPERMARCAS ON;HYPE3;HYPE3 BS Equity;HYPERMARCAS SA;Consumer, Non-cyclical;10005;Consumer Staples;30;10.966.948.654;373,37;59,07;#N/A N/A;Produção e Venda de Bens de Consumo e Medicamentos
IBM DRN;IBMB34;IBMB34 BS Equity;INTL BUSINESS MACH CORP-BDR;Technology;10013;Information Technology;45;402.593.880.010;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
IDEIASNET ON;IDNT3;IDNT3 BS Equity;IDEIASNET SA;Financial;10008;Information Technology;45;213.971.942;70,31;57,5;#N/A N/A;"Aquisição de Participações Diretas e Indiretas em Companhias do Setor de Tecnologia. Mídia e Telecomunicações; e Gestão de Carteiras de Valores Mobiliários e Recursos Próprios e de Terceiros."
INDUSVAL ON;IDVL3;IDVL3 BS Equity;BANCO INDUSVAL SA;Financial;10008;Financials;40;277.558.888;23,77;40,62;#N/A N/A;Banco Múltiplo que Concentra Seus Negócios em Produtos de Crédito Corporativo. em Moeda Nacional e Estrangeira. Bem como Oferece Produtos de Repasse. Tesouraria e Assessoria Financeira A Empresas.
INDUSVAL PN;IDVL4;IDVL4 BS Equity;BANCO INDUSVAL SA;Financial;10008;Financials;40;277.558.888;13,12;42,29;#N/A N/A;Banco Múltiplo que Concentra Seus Negócios em Produtos de Crédito Corporativo. em Moeda Nacional e Estrangeira. Bem como Oferece Produtos de Repasse. Tesouraria e Assessoria Financeira A Empresas.
IGB S/A ON;IGBR3;IGBR3 BS Equity;IGB ELETRONICA SA;Consumer, Cyclical;10004;Consumer Discretionary;25;36.014.305;6;48;#N/A N/A;Eletroeletrônica
IGUATEMI ON;IGTA3;IGTA3 BS Equity;IGUATEMI EMP DE SHOPPING;Financial;10008;Financials;40;4.538.917.555;65,75;37,23;#N/A N/A;Empresa Full Service no Setor de Shopping Centers. Suas Atividades Englobam A Concepção. o Planejamento. o Desenvolvimento e A Administração de Shopping Centers Regionais e Complexos Imobiliários.
IMC HOLDINGS ON;IMCH3;IMCH3 BS Equity;INTL MEAL COMP HOLDINGS SA;Consumer, Cyclical;10004;Consumer Discretionary;25;1.140.517.706;42,06;49,78;#N/A N/A;Setor de Varejo de Alimentação
INEPAR ON;INEP3;INEP3 BS Equity;INEPAR SA INDUSTRIA E CONSTR;Industrial;10011;Industrials;20;20.307.243;13,48;33,79;#N/A N/A;Fabricação de Equipamentos e Sistemas Elétricos . Fabricação de Torres e Acessórios para Transmissão de Energia e Telecomunicações. Fabricação de Bens de Capital e Sitemas Industriais sob Encomenda.
INEPAR PN;INEP4;INEP4 BS Equity;INEPAR SA INDUSTRIA E C-PREF;Industrial;10011;Industrials;20;20.307.243;59,59;94,38;#N/A N/A;Fabricação de Equipamentos e Sistemas Elétricos . Fabricação de Torres e Acessórios para Transmissão de Energia e Telecomunicações. Fabricação de Bens de Capital e Sitemas Industriais sob Encomenda.
INEPAR TEL ON;INET3;INET3 BS Equity;INEPAR TELECOMUNICACOES SA;Communications;10003;Telecommunication Services;50;15.674.246;67,02;21,38;#N/A N/A;Participação em Empresas do Setor de Telecomunicações.
IT NOW ISE CI;ISUS11;ISUS11 BS Equity;IT NOW ISE FUNDO DE INDICE;Funds;10009;#N/A N/A;#N/A N/A;38.369.999;#N/A N/A;#N/A N/A;Equity;#N/A N/A
ITAUTEC ON;ITEC3;ITEC3 BS Equity;ITAUTEC SA - GRUPO ITAUTEC;Technology;10013;Information Technology;45;195.988.923;0,25;2,2;#N/A N/A;Participação em Outras Sociedades no País e no Exterior. em Especial Naquelas que Atuam na Fabricação e Comercialização de Equipamentos de Automações Bancária e Comercial e na Prestação de Serviços
INTEL DRN;ITLC34;ITLC34 BS Equity;INTEL - BDR;Technology;10013;Information Technology;45;485.247.510.000;#N/A N/A;#N/A N/A;#N/A N/A;#N/A N/A
ITAUSA ON;ITSA3;ITSA3 BS Equity;ITAUSA-INVESTIMENTOS ITAU SA;Diversified;10006;Financials;40;63.963.631.462;293,82;12,49;#N/A N/A;Gestão de Participações Societárias (holding)
ITAUSA PN;ITSA4;ITSA4 BS Equity;ITAUSA-INVESTIMENTOS ITAU-PR;Diversified;10006;Financials;40;63.963.631.462;3.109,84;82,76;#N/A N/A;Gestão de Participações Societárias (holding)
ITAUUNIBANCO ON;ITUB3;ITUB3 BS Equity;ITAU UNIBANCO HOLDING SA;Financial;10008;Financials;40;201.301.980.693;286,42;10,34;#N/A N/A;A Sociedade Tem por Objeto A Atividade Bancária em Todas as Modalidades Autorizadas. Inclusive A de Operações de Câmbio.
ITAUUNIBANCO PN;ITUB4;ITUB4 BS Equity;ITAU UNIBANCO HOLDING S-PREF;Financial;10008;Financials;40;201.301.980.693;2.760,80;100;#N/A N/A;A Sociedade Tem por Objeto A Atividade Bancária em Todas as Modalidades Autorizadas. Inclusive A de Operações de Câmbio.
ISHARE SP500 CI;IVVB11;IVVB11 BS Equity;ISHARES S&P 500 FIC FI IE;Funds;10009;#N/A N/A;#N/A N/A;37.764.999;#N/A N/A;#N/A N/A;Equity;#N/A N/A
J B DUARTE ON;JBDU3;JBDU3 BS Equity;INDUSTRIAS J B DUARTE SA;Consumer, Non-cyclical;10005;Consumer Staples;30;5.388.953;0,86;4,62;#N/A N/A;"I - Exploração Industrial e Comercial. Exp. e Imp de Produtos Alimenticios; Ii - Exploração Industrial e Acondicionamento de Produtos Alimenticios; Iii - Particip em Outras Sociedades."
J B DUARTE PN;JBDU4;JBDU4 BS Equity;INDUSTRIAS J B DUARTE SA-PRF;Consumer, Non-cyclical;10005;Consumer Staples;30;5.388.953;1,35;3,63;#N/A N/A;"I - Exploração Industrial e Comercial. Exp. e Imp de Produtos Alimenticios; Ii - Exploração Industrial e Acondicionamento de Produtos Alimenticios; Iii - Particip em Outras Sociedades."
JBS ON;JBSS3;JBSS3 BS Equity;JBS SA;Consumer, Non-cyclical;10005;Consumer Staples;30;35.323.728.096;960,81;32,64;#N/A N/A;#N/A N/A
